review_id,question_id,search_run_id,candidate_id,paper_id
R5c040ef1a691,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4383679937,https://openalex.org/W4383679937
R90d027489e81,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4401889575,https://openalex.org/W4401889575
R6e3776fceb4f,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4366729084,https://openalex.org/W4366729084
R1696c668057c,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4384520713,https://openalex.org/W4384520713
R099e652816e5,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4387628939,https://openalex.org/W4387628939
Raf245ecd96d8,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4401867536,https://openalex.org/W4401867536
R5567f85c238c,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4396827179,https://openalex.org/W4396827179
R72890a2c3590,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4400113154,https://openalex.org/W4400113154
R9f0c462e5ad3,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4403424095,https://openalex.org/W4403424095
R0dfbd0bcacd5,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4389992156,https://openalex.org/W4389992156
R8c48e13a5e98,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4394894101,https://openalex.org/W4394894101
R876838cbd54e,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4220747294,https://openalex.org/W4220747294
R41126d9a7f74,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4392239564,https://openalex.org/W4392239564
Re2c2b96f092f,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4409885395,https://openalex.org/W4409885395
R914203dc422d,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4406850244,https://openalex.org/W4406850244
Rf002b743d85f,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4388624604,https://openalex.org/W4388624604
Ra9d9688b542c,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4385938190,https://openalex.org/W4385938190
R4efd1a7a69d5,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4402118103,https://openalex.org/W4402118103
Rfaaa3dd74eff,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4400142550,https://openalex.org/W4400142550
R9c9013dc64e6,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4400578758,https://openalex.org/W4400578758
R4aa17c1d1726,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4368367885,https://openalex.org/W4368367885
R356f6ee6bade,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4402517157,https://openalex.org/W4402517157
R742fe1fbd62b,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W3163054706,https://openalex.org/W3163054706
R48db813ed677,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4390050383,https://openalex.org/W4390050383
R1e7ff000ae26,Q01,Q01-diagnostic-v01,Q01-diagnostic-v01:W4400722369,https://openalex.org/W4400722369
