review_id,question_id,field,question_value,requirement,reviewer_id,label,evidence_source,evidence_quote,reason
R5c040ef1a691,Q01,population,UX 디자이너,CORE,,,,,
R5c040ef1a691,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R5c040ef1a691,Q01,outcome,아이디어 다양성,CORE,,,,,
R5c040ef1a691,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R90d027489e81,Q01,population,UX 디자이너,CORE,,,,,
R90d027489e81,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R90d027489e81,Q01,outcome,아이디어 다양성,CORE,,,,,
R90d027489e81,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R6e3776fceb4f,Q01,population,UX 디자이너,CORE,,,,,
R6e3776fceb4f,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R6e3776fceb4f,Q01,outcome,아이디어 다양성,CORE,,,,,
R6e3776fceb4f,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R1696c668057c,Q01,population,UX 디자이너,CORE,,,,,
R1696c668057c,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R1696c668057c,Q01,outcome,아이디어 다양성,CORE,,,,,
R1696c668057c,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R099e652816e5,Q01,population,UX 디자이너,CORE,,,,,
R099e652816e5,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R099e652816e5,Q01,outcome,아이디어 다양성,CORE,,,,,
R099e652816e5,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
Raf245ecd96d8,Q01,population,UX 디자이너,CORE,,,,,
Raf245ecd96d8,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
Raf245ecd96d8,Q01,outcome,아이디어 다양성,CORE,,,,,
Raf245ecd96d8,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R5567f85c238c,Q01,population,UX 디자이너,CORE,,,,,
R5567f85c238c,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R5567f85c238c,Q01,outcome,아이디어 다양성,CORE,,,,,
R5567f85c238c,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R72890a2c3590,Q01,population,UX 디자이너,CORE,,,,,
R72890a2c3590,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R72890a2c3590,Q01,outcome,아이디어 다양성,CORE,,,,,
R72890a2c3590,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R9f0c462e5ad3,Q01,population,UX 디자이너,CORE,,,,,
R9f0c462e5ad3,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R9f0c462e5ad3,Q01,outcome,아이디어 다양성,CORE,,,,,
R9f0c462e5ad3,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R0dfbd0bcacd5,Q01,population,UX 디자이너,CORE,,,,,
R0dfbd0bcacd5,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R0dfbd0bcacd5,Q01,outcome,아이디어 다양성,CORE,,,,,
R0dfbd0bcacd5,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
R8c48e13a5e98,Q01,population,UX 디자이너,CORE,,,,,
R8c48e13a5e98,Q01,intervention_or_phenomenon,생성형 AI,CORE,,,,,
R8c48e13a5e98,Q01,outcome,아이디어 다양성,CORE,,,,,
R8c48e13a5e98,Q01,relation,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,CORE,,,,,
