question_id,search_run_id,arm,paper_id,title,source_rank,source_score
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4400578758,Generative AI enhances individual creativity but reduces the collective diversity of novel content,1,589.7374
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4383679937,"Design Ideation with AI - Sketching, Thinking and Talking with Generative Machine Learning Models",2,381.336
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4401533174,The Crowdless Future? Generative AI and Creative Problem-Solving,3,333.6024
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4220962633,Investigating Explainability of Generative AI for Code through Scenario-based Design,4,328.54843
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4409885395,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,5,303.43857
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4387628939,DesignAID: Using Generative AI and Semantic Diversity for Design Inspiration,6,290.8962
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4392094166,How organizations can innovate with generative AI,7,263.13156
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4390813588,Comparing the Ideation Quality of Humans With Generative Artificial Intelligence,8,259.01788
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4390050383,The Uneven Impact of Generative AI on Entrepreneurial Performance,9,249.29544
Q01,Q01-diagnostic-v01,diagnostic,https://openalex.org/W4392239564,Human-AI collaboration patterns in AI-assisted academic writing,10,244.80003
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W2981731882,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",1,882.9221
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4317748910,Artificial Intelligence Risk Management Framework (AI RMF 1.0),2,310.28693
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4401955591,Integrating Generative AI and IoT for Sustainable Smart Tourism Destinations,3,226.42697
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4220747294,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,4,216.54489
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4391361874,Enhancing Work Productivity through Generative Artificial Intelligence: A Comprehensive Literature Review,5,213.07709
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4387331350,Understanding Design Collaboration Between Designers and Artificial Intelligence: A Systematic Literature Review,6,203.31908
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W3208274075,"‘Just hit a button!’ – fashion 4.0 designers as cyborgs, experimenting and designing with generative algorithms",7,193.70241
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4388007985,The Participatory Turn in AI Design: Theoretical Foundations and the Current State of Practice,8,169.07652
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W3157327767,Generative Adversarial Networks–Enabled Human–Artificial Intelligence Collaborative Applications for Creative and Design Industries: A Systematic Review of Current Approaches and Trends,9,164.01837
Q02,Q02-punctuation-v01,punctuation,https://openalex.org/W4292289324,Human-in-the-loop machine learning: a state of the art,10,154.66335
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4400578758,Generative AI enhances individual creativity but reduces the collective diversity of novel content,1,589.7374
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4383679937,"Design Ideation with AI - Sketching, Thinking and Talking with Generative Machine Learning Models",2,381.336
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4401533174,The Crowdless Future? Generative AI and Creative Problem-Solving,3,333.6024
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4220962633,Investigating Explainability of Generative AI for Code through Scenario-based Design,4,328.54843
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4409885395,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,5,303.43857
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4387628939,DesignAID: Using Generative AI and Semantic Diversity for Design Inspiration,6,290.8962
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4392094166,How organizations can innovate with generative AI,7,263.13156
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4390813588,Comparing the Ideation Quality of Humans With Generative Artificial Intelligence,8,259.01788
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4390050383,The Uneven Impact of Generative AI on Entrepreneurial Performance,9,249.29544
Q02,Q02-diagnostic-v01,diagnostic,https://openalex.org/W4392239564,Human-AI collaboration patterns in AI-assisted academic writing,10,244.80003
Q03,Q03-punctuation-v01,punctuation,https://openalex.org/W4323655724,ChatGPT for good? On opportunities and challenges of large language models for education,1,1331.4495
Q03,Q03-punctuation-v01,punctuation,https://openalex.org/W4324046518,Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,2,1120.5118
Q03,Q03-punctuation-v01,punctuation,https://openalex.org/W4327918021,ChatGPT in higher education: Considerations for academic integrity and student learning,3,779.50586
